LicenseFinder::Gradle: [32mis active[0m
LicenseFinder::Gradle: [32mis active[0m
LicenseFinder::Gradle: [32mis active[0m
LicenseFinder::Gradle: [32mis active[0m
LicenseFinder::Gradle: [32mis active[0m
LicenseFinder::Gradle: [32mis active[0m
LicenseFinder::Gradle: [32mis active[0m
LicenseFinder::Gradle: [32mis active[0m
LicenseFinder::Gradle: [32mis active[0m
slf4j-api,1.7.25,MIT,http://opensource.org/licenses/mit-license,"",""
slf4j-log4j12,1.7.16,MIT,http://opensource.org/licenses/mit-license,"",""
snakeyaml,1.17,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
snappy-java,1.1.2.6,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
spark-cassandra-connector_2.11,2.0.5,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
spark-catalyst_2.11,2.1.1,Apache 2.0 License,"","",""
spark-core_2.11,2.1.1,Apache 2.0 License,"","",""
spark-launcher_2.11,2.1.1,Apache 2.0 License,"","",""
spark-network-common_2.11,2.1.1,Apache 2.0 License,"","",""
spark-network-shuffle_2.11,2.1.1,Apache 2.0 License,"","",""
spark-sketch_2.11,2.1.1,Apache 2.0 License,"","",""
spark-sql_2.11,2.1.1,Apache 2.0 License,"","",""
spark-streaming-kafka-0-8_2.11,2.1.1,Apache 2.0 License,"","",""
spark-streaming_2.11,2.1.1,Apache 2.0 License,"","",""
spark-tags_2.11,2.1.1,Apache 2.0 License,"","",""
spark-unsafe_2.11,2.1.1,Apache 2.0 License,"","",""
stax2-api,3.1.4,BSD,http://en.wikipedia.org/wiki/BSD_licenses#4-clause_license_.28original_.22BSD_License.22.29,"",""
stream,2.7.0,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
swagger-annotations,1.5.1-M2,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
swagger-annotations,1.5.14,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
swagger-core,1.5.1-M2,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
